MicroMag 2900/3900 Data File (Series 0016.002)
Direct moment vs. field; Multiple segments

INSTRUMENT
Configuration                   VSM
Temperature control             None
Hardware version                0004
Software version                05/31/2011
Units of measure                cgs
Temperature in                  Kelvin

SAMPLE
Mass                            N/A
Volume                          N/A
Demagnetizing factor            N/A

SETTINGS
Field range                    +3.000000E+03
Field (command)                 N/A
Moment range                   +500.0000E-06
Averaging time                  N/A
Temperature (command)           N/A
Tmprtr difference correction    No
Orientation                     0.000000E+00
Vibration amplitude             1.0
Calibration factor             +8.169386E-03
Operating frequency            +83.00000E+00
Sweep mode                      Discrete
Pause after sweep increment    +100.0000E-03

MEASUREMENT
Description                    ""
Field (measured)                N/A
Temperature (measured)          N/A
Averages (completed)            N/A
Measured on                     04/21/2026  09:58
Elapsed time                   +16.42338E+03

PROCESSING
Background subtraction          No
Delta-m processing              N/A
Demagnetizing factor            No
Normalization                   No
Normalization factor            N/A
Offset (field)                  No
Offset (moment)                 No
Pole saturation                 No
Slope correction                No

VIEWPORT
Left                           -2.000000E+03
Right                          +2.000000E+03
Bottom                         -500.0000E-06
Top                            +500.0000E-06
Show X-axis?                    Yes
Show Y-axis?                    Yes

CHARACTERIZATION
Initial slope                   N/A
Saturation                     +183.2594E-06
Remanence                      +30.26050E-06
Coercivity                     +202.8982E+00
S*                             -59.75391E-03

SCRIPT
Number of segments              201
Number of data                  5149

Segment   Averaging      Initial        Field         Final                    Final 
 Number      Time         Field       Increment       Field         Pause      Index 
             (s)           (Oe)          (Oe)          (Oe)          (s)     
0000001,+1.000000E-03, 0.000000E+00,+100.0000E+00,+2.000000E+03,+1.000000E+00,0000000
0000002,+1.000000E-03,+2.000000E+03,+20.00000E+00,+1.960000E+03,+1.000000E+00,0000000
0000003,+3.000000E+00,+1.960000E+03,+20.00000E+00,+2.000000E+03,+1.000000E+00,0000003
0000004,+1.000000E-03,+2.000000E+03,+40.00000E+00,+1.920000E+03,+1.000000E+00,0000003
0000005,+3.000000E+00,+1.920000E+03,+40.00000E+00,+2.000000E+03,+1.000000E+00,0000006
0000006,+1.000000E-03,+2.000000E+03,+40.40404E+00,+1.880000E+03,+1.000000E+00,0000006
0000007,+3.000000E+00,+1.880000E+03,+40.40404E+00,+2.000000E+03,+1.000000E+00,0000010
0000008,+1.000000E-03,+2.000000E+03,+40.40404E+00,+1.840000E+03,+1.000000E+00,0000010
0000009,+3.000000E+00,+1.840000E+03,+40.40404E+00,+2.000000E+03,+1.000000E+00,0000015
0000010,+1.000000E-03,+2.000000E+03,+40.40404E+00,+1.800000E+03,+1.000000E+00,0000015
0000011,+3.000000E+00,+1.800000E+03,+40.40404E+00,+2.000000E+03,+1.000000E+00,0000021
0000012,+1.000000E-03,+2.000000E+03,+40.40404E+00,+1.760000E+03,+1.000000E+00,0000021
0000013,+3.000000E+00,+1.760000E+03,+40.40404E+00,+2.000000E+03,+1.000000E+00,0000028
0000014,+1.000000E-03,+2.000000E+03,+40.40404E+00,+1.720000E+03,+1.000000E+00,0000028
0000015,+3.000000E+00,+1.720000E+03,+40.40404E+00,+2.000000E+03,+1.000000E+00,0000036
0000016,+1.000000E-03,+2.000000E+03,+40.40404E+00,+1.680000E+03,+1.000000E+00,0000036
0000017,+3.000000E+00,+1.680000E+03,+40.40404E+00,+2.000000E+03,+1.000000E+00,0000045
0000018,+1.000000E-03,+2.000000E+03,+40.40404E+00,+1.640000E+03,+1.000000E+00,0000045
0000019,+3.000000E+00,+1.640000E+03,+40.40404E+00,+2.000000E+03,+1.000000E+00,0000055
0000020,+1.000000E-03,+2.000000E+03,+40.40404E+00,+1.600000E+03,+1.000000E+00,0000055
0000021,+3.000000E+00,+1.600000E+03,+40.40404E+00,+2.000000E+03,+1.000000E+00,0000066
0000022,+1.000000E-03,+2.000000E+03,+40.40404E+00,+1.560000E+03,+1.000000E+00,0000066
0000023,+3.000000E+00,+1.560000E+03,+40.40404E+00,+2.000000E+03,+1.000000E+00,0000078
0000024,+1.000000E-03,+2.000000E+03,+40.40404E+00,+1.520000E+03,+1.000000E+00,0000078
0000025,+3.000000E+00,+1.520000E+03,+40.40404E+00,+2.000000E+03,+1.000000E+00,0000091
0000026,+1.000000E-03,+2.000000E+03,+40.40404E+00,+1.480000E+03,+1.000000E+00,0000091
0000027,+3.000000E+00,+1.480000E+03,+40.40404E+00,+2.000000E+03,+1.000000E+00,0000105
0000028,+1.000000E-03,+2.000000E+03,+40.40404E+00,+1.440000E+03,+1.000000E+00,0000105
0000029,+3.000000E+00,+1.440000E+03,+40.40404E+00,+2.000000E+03,+1.000000E+00,0000120
0000030,+1.000000E-03,+2.000000E+03,+40.40404E+00,+1.400000E+03,+1.000000E+00,0000120
0000031,+3.000000E+00,+1.400000E+03,+40.40404E+00,+2.000000E+03,+1.000000E+00,0000136
0000032,+1.000000E-03,+2.000000E+03,+40.40404E+00,+1.360000E+03,+1.000000E+00,0000136
0000033,+3.000000E+00,+1.360000E+03,+40.40404E+00,+2.000000E+03,+1.000000E+00,0000153
0000034,+1.000000E-03,+2.000000E+03,+40.40404E+00,+1.320000E+03,+1.000000E+00,0000153
0000035,+3.000000E+00,+1.320000E+03,+40.40404E+00,+2.000000E+03,+1.000000E+00,0000171
0000036,+1.000000E-03,+2.000000E+03,+40.40404E+00,+1.280000E+03,+1.000000E+00,0000171
0000037,+3.000000E+00,+1.280000E+03,+40.40404E+00,+2.000000E+03,+1.000000E+00,0000190
0000038,+1.000000E-03,+2.000000E+03,+40.40404E+00,+1.240000E+03,+1.000000E+00,0000190
0000039,+3.000000E+00,+1.240000E+03,+40.40404E+00,+2.000000E+03,+1.000000E+00,0000210
0000040,+1.000000E-03,+2.000000E+03,+40.40404E+00,+1.200000E+03,+1.000000E+00,0000210
0000041,+3.000000E+00,+1.200000E+03,+40.40404E+00,+2.000000E+03,+1.000000E+00,0000231
0000042,+1.000000E-03,+2.000000E+03,+40.40404E+00,+1.160000E+03,+1.000000E+00,0000231
0000043,+3.000000E+00,+1.160000E+03,+40.40404E+00,+2.000000E+03,+1.000000E+00,0000253
0000044,+1.000000E-03,+2.000000E+03,+40.40404E+00,+1.120000E+03,+1.000000E+00,0000253
0000045,+3.000000E+00,+1.120000E+03,+40.40404E+00,+2.000000E+03,+1.000000E+00,0000276
0000046,+1.000000E-03,+2.000000E+03,+40.40404E+00,+1.080000E+03,+1.000000E+00,0000276
0000047,+3.000000E+00,+1.080000E+03,+40.40404E+00,+2.000000E+03,+1.000000E+00,0000300
0000048,+1.000000E-03,+2.000000E+03,+40.40404E+00,+1.040000E+03,+1.000000E+00,0000300
0000049,+3.000000E+00,+1.040000E+03,+40.40404E+00,+2.000000E+03,+1.000000E+00,0000325
0000050,+1.000000E-03,+2.000000E+03,+40.40404E+00,+1.000000E+03,+1.000000E+00,0000325
0000051,+3.000000E+00,+1.000000E+03,+40.40404E+00,+2.000000E+03,+1.000000E+00,0000351
0000052,+1.000000E-03,+2.000000E+03,+40.40404E+00,+960.0000E+00,+1.000000E+00,0000351
0000053,+3.000000E+00,+960.0000E+00,+40.40404E+00,+2.000000E+03,+1.000000E+00,0000378
0000054,+1.000000E-03,+2.000000E+03,+40.40404E+00,+920.0000E+00,+1.000000E+00,0000378
0000055,+3.000000E+00,+920.0000E+00,+40.40404E+00,+2.000000E+03,+1.000000E+00,0000406
0000056,+1.000000E-03,+2.000000E+03,+40.40404E+00,+880.0000E+00,+1.000000E+00,0000406
